Age,EducationBackground,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,NumCompaniesWorked,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
32,3,2,1,1,1,10,3,4,55,3,2,1.0,12,4,10.0,2,2,10.0,7.0,0.0,8.0,1
47,3,2,1,1,1,14,4,4,42,3,2,2.0,12,4,10.0,2,3,7.0,7.0,1.0,7.0,1
40,1,1,1,1,2,5,4,4,48,2,3,5.0,21,3,10.0,2,3,5.0,3.0,1.0,3.0,1
41,6,3,4,8,1,10,4,2,73,2,5,3.0,15,2,10.0,2,2,5.0,6.0,1.0,6.0,1
60,3,2,1,1,1,16,4,1,84,3,2,2.0,14,4,10.0,1,3,2.0,2.0,2.0,2.0,1
27,1,3,2,2,2,10,2,4,32,3,3,1.0,21,3,9.0,4,2,9.0,7.0,1.0,7.0,1
50,3,1,1,5,1,8,4,4,54,3,1,2.0,15,4,4.0,2,3,2.0,2.0,2.0,2.0,1
28,1,2,2,2,1,1,2,1,67,1,1,2.0,13,4,10.0,4,3,7.0,7.0,3.0,7.0,2
36,1,1,2,2,3,8,3,1,63,4,3,2.0,14,1,10.0,2,3,8.0,7.0,0.0,5.0,1
38,1,2,2,2,1,1,3,3,81,3,3,4.0,14,4,10.0,4,4,1.0,0.0,0.0,0.0,1
44,2,2,2,2,3,24,3,1,49,1,1,2.0,14,3,9.0,5,3,5.0,2.0,1.0,4.0,1
47,2,3,1,1,2,3,3,4,49,3,4,2.0,12,4,10.0,2,2,5.0,2.0,1.0,3.0,1
30,3,3,1,1,1,27,5,3,99,3,2,2.0,23,4,10.0,2,2,8.0,7.0,1.0,7.0,1
29,1,2,1,5,1,10,3,3,99,3,1,1.0,11,3,10.0,6,3,1.0,0.0,0.0,0.0,1
42,2,3,2,2,2,19,3,3,57,4,1,2.0,12,4,7.0,2,3,2.0,2.0,2.0,2.0,2
